\COMMENT ----------------------------------------------------------------------
\COMMENT conducted on Wed Nov 26 18:10:05 PST 2014, by Guest
\COMMENT ----------------------------------------------------------------------
\RowsRetrieved = 24
\ORIGIN = NASA/IPAC Infrared Science Archive (IRSA), Caltech/JPL
\fixlen = T
\primary = 0
\comment = created from statement: select into /hydra/workarea/heritage/temp_files/pbcdByPosition2131992949898172342.tbl col reqkey, modedisplayname, wavelength, cra, cdec, filetype, externalname, ra, dec, ra1, dec1, ra2, dec2, ra3, dec3, ra4, dec4 from /hydra/workarea/heritage/temp_files/pbcdByPosition8575249372281439185.tbl with complete_header
|AORKEY     |Instrument/Mode                                   |wavelength                    |cra            |cdec           |filetype|externalname                                                                                        |ra            |dec           |ra1           |dec1          |ra2           |dec2          |ra3           |dec3          |ra4           |dec4          |
|int        |char                                              |char                          |char           |char           |char    |char                                                                                                |double        |double        |double        |double        |double        |double        |double        |double        |double        |double        |
|null       |null                                              |null                          |null           |null           |null    |null                                                                                                |null          |null          |null          |null          |null          |null          |null          |null          |null          |null          |
|null       |null                                              |null                          |null           |null           |null    |null                                                                                                |null          |null          |null          |null          |null          |null          |null          |null          |null          |null          |
    18279424                                           IRAC Map                     IRAC 4.5um    13h29m52.97s    +47d10m24.9s    Image                                     r18279424/ch2/pbcd/SPITZER_I2_18279424_0000_5_E8264357_maic.fits     202.470696      47.173593     202.182640      47.103063     202.595908      47.363724     202.759514      47.243399     202.346378      46.983326 
    18279424                                           IRAC Map                     IRAC 8.0um    13h29m52.97s    +47d10m24.9s    Image                                     r18279424/ch4/pbcd/SPITZER_I4_18279424_0000_5_E8264596_maic.fits     202.470696      47.173593     202.182640      47.103063     202.595908      47.363724     202.759514      47.243399     202.346378      46.983326 
    18279424                                           IRAC Map                     IRAC 3.6um    13h29m52.97s    +47d10m24.9s    Image                                     r18279424/ch1/pbcd/SPITZER_I1_18279424_0000_5_E8264023_maic.fits     202.470696      47.173593     202.182640      47.103063     202.595908      47.363724     202.759514      47.243399     202.346378      46.983326 
     5504256                                           IRAC Map                     IRAC 5.8um    13h29m56.57s    +47d13m15.6s    Image                                       r5504256/ch3/pbcd/SPITZER_I3_5504256_0000_6_E8757017_maic.fits     202.485704      47.221013     201.982526      47.239978     202.748165      47.513429     202.988501      47.199847     202.226126      46.928004 
     5504256                                           IRAC Map                     IRAC 8.0um    13h29m56.57s    +47d13m15.6s    Image                                       r5504256/ch4/pbcd/SPITZER_I4_5504256_0000_6_E8757054_maic.fits     202.485704      47.221013     201.982526      47.239978     202.748165      47.513429     202.988501      47.199847     202.226126      46.928004 
     5504256                                           IRAC Map                     IRAC 4.5um    13h29m56.57s    +47d13m15.6s    Image                                       r5504256/ch2/pbcd/SPITZER_I2_5504256_0000_6_E8757228_maic.fits     202.485704      47.221013     201.982526      47.239978     202.748165      47.513429     202.988501      47.199847     202.226126      46.928004 
    18279424                                           IRAC Map                     IRAC 5.8um    13h29m52.97s    +47d10m24.9s    Image                                     r18279424/ch3/pbcd/SPITZER_I3_18279424_0000_5_E8264732_maic.fits     202.470696      47.173593     202.182640      47.103063     202.595908      47.363724     202.759514      47.243399     202.346378      46.983326 
    18279168                                           IRAC Map                     IRAC 3.6um    13h29m53.77s    +47d10m32.0s    Image                                     r18279168/ch1/pbcd/SPITZER_I1_18279168_0000_4_E8441673_maic.fits     202.474055      47.175548     202.760070      47.250353     202.356564      46.983350     202.188849      47.100033     202.592399      47.367625 
    18279168                                           IRAC Map                     IRAC 4.5um    13h29m53.77s    +47d10m32.0s    Image                                     r18279168/ch2/pbcd/SPITZER_I2_18279168_0000_4_E8441549_maic.fits     202.474055      47.175548     202.760070      47.250353     202.356564      46.983350     202.188849      47.100033     202.592399      47.367625 
    18279168                                           IRAC Map                     IRAC 8.0um    13h29m53.77s    +47d10m32.0s    Image                                     r18279168/ch4/pbcd/SPITZER_I4_18279168_0000_4_E8441485_maic.fits     202.474055      47.175548     202.760070      47.250353     202.356564      46.983350     202.188849      47.100033     202.592399      47.367625 
